name,gene,SRR21835896,SRR21835897,SRR21835898,SRR21835899,SRR21835900,SRR21835901
SAUSA300_RS00095,SAUSA300_RS00095,0,0,0,0,0,0
SAUSA300_RS00100,SAUSA300_RS00100,0,0,0,0,1,1
SAUSA300_RS02390,SAUSA300_RS02390,0,2,0,2,3,2
SAUSA300_RS15100,SAUSA300_RS15100,691,610,562,398,428,543
SAUSA300_RS02440,SAUSA300_RS02440,0,0,2,0,0,0
SAUSA300_RS02445,SAUSA300_RS02445,4,8,1,2,3,6
SAUSA300_RS02450,SAUSA300_RS02450,0,0,0,0,0,0
SAUSA300_RS02665,SAUSA300_RS02665,0,2,0,0,0,0
SAUSA300_RS02670,SAUSA300_RS02670,3,30,20,2,19,1
SAUSA300_RS02675,SAUSA300_RS02675,0,0,0,0,0,0
SAUSA300_RS02680,SAUSA300_RS02680,12,13,12,5,3,4
SAUSA300_RS02685,SAUSA300_RS02685,21,42,17,15,8,13
SAUSA300_RS02690,SAUSA300_RS02690,0,0,0,0,0,0
SAUSA300_RS15205,SAUSA300_RS15205,17002,23438,31483,17834,23116,17801
SAUSA300_RS04975,SAUSA300_RS04975,0,0,0,0,0,0
SAUSA300_RS04980,SAUSA300_RS04980,0,0,0,0,0,0
SAUSA300_RS05785,SAUSA300_RS05785,0,0,1,1,0,0
SAUSA300_RS15340,SAUSA300_RS15340,1084,1849,2613,1260,1505,1260
SAUSA300_RS15370,SAUSA300_RS15370,1091,550,859,631,393,698
SAUSA300_RS09700,SAUSA300_RS09700,0,0,0,0,0,0
SAUSA300_RS09705,SAUSA300_RS09705,0,0,0,0,0,0
SAUSA300_RS09710,SAUSA300_RS09710,0,0,0,0,0,0
SAUSA300_RS09715,SAUSA300_RS09715,0,0,0,0,0,0
SAUSA300_RS09720,SAUSA300_RS09720,0,0,0,0,0,0
SAUSA300_RS09725,SAUSA300_RS09725,0,0,0,0,0,0
SAUSA300_RS09730,SAUSA300_RS09730,0,0,0,0,0,0
SAUSA300_RS09735,SAUSA300_RS09735,0,0,0,0,0,0
SAUSA300_RS09910,SAUSA300_RS09910,0,0,0,0,0,0
SAUSA300_RS15810,SAUSA300_RS15810,4,5,4,0,3,0
SAUSA300_RS09915,SAUSA300_RS09915,2,4,1,1,5,0
SAUSA300_RS09920,SAUSA300_RS09920,0,0,0,0,0,0
SAUSA300_RS09925,SAUSA300_RS09925,0,0,0,0,0,0
SAUSA300_RS09930,SAUSA300_RS09930,0,0,0,0,0,0
SAUSA300_RS09935,SAUSA300_RS09935,0,0,0,0,0,0
SAUSA300_RS09940,SAUSA300_RS09940,0,0,1,1,1,1
SAUSA300_RS09945,SAUSA300_RS09945,0,0,0,0,0,0
SAUSA300_RS09950,SAUSA300_RS09950,0,0,0,0,0,0
SAUSA300_RS09955,SAUSA300_RS09955,0,0,0,0,0,0
SAUSA300_RS09960,SAUSA300_RS09960,0,0,0,0,0,0
SAUSA300_RS09965,SAUSA300_RS09965,0,2,2,1,1,0
SAUSA300_RS09970,SAUSA300_RS09970,1,3,2,0,1,1
SAUSA300_RS09975,SAUSA300_RS09975,0,0,0,0,0,0
SAUSA300_RS09980,SAUSA300_RS09980,1,0,1,0,0,0
SAUSA300_RS09985,SAUSA300_RS09985,2,2,2,0,0,0
SAUSA300_RS09990,SAUSA300_RS09990,1,2,5,0,3,0
SAUSA300_RS09995,SAUSA300_RS09995,2,2,3,0,2,0
SAUSA300_RS10000,SAUSA300_RS10000,3,5,14,4,5,4
SAUSA300_RS10005,SAUSA300_RS10005,3,1,9,0,3,1
SAUSA300_RS10010,SAUSA300_RS10010,0,3,2,2,0,0
SAUSA300_RS10015,SAUSA300_RS10015,0,0,0,0,0,0
SAUSA300_RS10020,SAUSA300_RS10020,0,0,1,0,0,0
SAUSA300_RS10025,SAUSA300_RS10025,0,0,1,0,0,0
SAUSA300_RS10030,SAUSA300_RS10030,0,0,0,0,0,0
SAUSA300_RS10035,SAUSA300_RS10035,0,0,0,0,0,0
SAUSA300_RS10040,SAUSA300_RS10040,17,36,13,27,11,12
SAUSA300_RS10045,SAUSA300_RS10045,7,19,22,12,10,13
SAUSA300_RS10050,SAUSA300_RS10050,0,0,0,0,0,0
SAUSA300_RS10055,SAUSA300_RS10055,0,2,5,0,4,2
SAUSA300_RS11085,SAUSA300_RS11085,0,0,0,0,0,0
SAUSA300_RS11090,SAUSA300_RS11090,0,0,0,0,0,0
SAUSA300_RS11095,SAUSA300_RS11095,0,0,0,0,0,0
SAUSA300_RS11100,SAUSA300_RS11100,0,6,14,0,1,0
SAUSA300_RS11105,SAUSA300_RS11105,0,1,1,1,0,0
SAUSA300_RS11655,SAUSA300_RS11655,0,0,1,0,0,0
SAUSA300_RS11660,SAUSA300_RS11660,0,0,0,0,0,0
SAUSA300_RS11665,SAUSA300_RS11665,0,1,0,0,0,0
SAUSA300_RS11670,SAUSA300_RS11670,0,2,0,0,0,0
SAUSA300_RS11675,SAUSA300_RS11675,0,0,0,0,0,0
SAUSA300_RS11680,SAUSA300_RS11680,0,0,0,0,0,0
SAUSA300_RS11685,SAUSA300_RS11685,0,0,0,0,0,0
SAUSA300_RS11690,SAUSA300_RS11690,1,0,0,0,1,2
SAUSA300_RS11695,SAUSA300_RS11695,0,0,0,0,0,0
